Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Tomato,96,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,460,23,12,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,21,93
Spinach,182,slices,Dairy,Rice Pilaf,Snack,Hard,209,43,46,43,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,46,82
Beef,79,grams,Proteins,Beef Stir-Fry,Dinner,Medium,215,26,6,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,60,26
Lettuce,121,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,393,39,26,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,45,94
Potato,126,cups,Grains,Mashed Potatoes,Side Dish,Medium,472,16,29,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,7,112
Carrot,172,pieces,Vegetables,Carrot Soup,Soup,Medium,389,46,19,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,50,87
Onion,77,slices,Vegetables,Onion Rings,Snack,Medium,267,38,47,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,25,57
Chicken,97,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,145,15,13,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,44,35
Broccoli,75,ounces,Vegetables,Broccoli Salad,Lunch,Medium,409,16,7,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,57,15
Rice,57,cups,Grains,Tomato Soup,Soup,Medium,442,22,30,20,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,45,28
Tomato,190,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,179,43,5,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,5,115
Spinach,165,slices,Dairy,Rice Pilaf,Snack,Hard,188,47,29,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,30,59
Beef,106,grams,Proteins,Beef Stir-Fry,Dinner,Medium,290,48,16,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,39,67
Lettuce,141,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,248,45,8,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,42,82
Potato,56,cups,Grains,Mashed Potatoes,Side Dish,Medium,371,50,21,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,45,16
Carrot,180,pieces,Vegetables,Carrot Soup,Soup,Medium,431,26,35,30,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,24,100
Onion,69,slices,Vegetables,Onion Rings,Snack,Medium,316,28,46,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,27,56
Chicken,107,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,113,6,47,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,43,111
Broccoli,116,ounces,Vegetables,Broccoli Salad,Lunch,Medium,500,34,19,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,16,60
Rice,85,cups,Grains,Tomato Soup,Soup,Medium,375,44,22,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,27,112
Tomato,113,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,315,17,39,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,37,33
Spinach,158,slices,Dairy,Rice Pilaf,Snack,Hard,108,35,35,8,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,57,85
Beef,59,grams,Proteins,Beef Stir-Fry,Dinner,Medium,425,14,37,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,36,29
Lettuce,125,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,194,20,15,5,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,36,20
Potato,192,cups,Grains,Mashed Potatoes,Side Dish,Medium,469,8,15,17,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,26,80
Carrot,99,pieces,Vegetables,Carrot Soup,Soup,Medium,271,48,39,27,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,25,57
Onion,72,slices,Vegetables,Onion Rings,Snack,Medium,109,30,13,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,44,62
Chicken,199,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,157,36,30,41,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,47,37
Broccoli,115,ounces,Vegetables,Broccoli Salad,Lunch,Medium,304,14,21,42,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,16,43
Rice,197,cups,Grains,Tomato Soup,Soup,Medium,340,9,10,35,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,28,22
Tomato,93,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,334,25,18,35,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,39,24
Spinach,141,slices,Dairy,Rice Pilaf,Snack,Hard,304,20,29,48,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,26,60
Beef,158,grams,Proteins,Beef Stir-Fry,Dinner,Medium,207,21,7,21,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,29,110
Lettuce,117,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,154,45,29,20,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,40,75
Potato,69,cups,Grains,Mashed Potatoes,Side Dish,Medium,106,42,8,19,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,20,69
Carrot,110,pieces,Vegetables,Carrot Soup,Soup,Medium,254,42,47,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,49,58
Onion,130,slices,Vegetables,Onion Rings,Snack,Medium,169,10,31,49,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,13,44
Chicken,119,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,447,45,25,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,46,24
Broccoli,186,ounces,Vegetables,Broccoli Salad,Lunch,Medium,295,37,15,42,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,22,10
Rice,68,cups,Grains,Tomato Soup,Soup,Medium,309,11,30,29,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,25,45
Tomato,74,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,359,16,7,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,9,80
Spinach,148,slices,Dairy,Rice Pilaf,Snack,Hard,147,27,14,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,15,27
Beef,64,grams,Proteins,Beef Stir-Fry,Dinner,Medium,267,22,32,8,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,39,23
Lettuce,125,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,211,8,26,18,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,45,43
Potato,104,cups,Grains,Mashed Potatoes,Side Dish,Medium,229,26,44,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,37,29
Carrot,155,pieces,Vegetables,Carrot Soup,Soup,Medium,214,29,24,23,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,22,107
Onion,153,slices,Vegetables,Onion Rings,Snack,Medium,103,15,10,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,9,41
Chicken,76,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,115,39,20,6,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,18,81
Broccoli,163,ounces,Vegetables,Broccoli Salad,Lunch,Medium,213,47,39,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,50,57
Rice,88,cups,Grains,Tomato Soup,Soup,Medium,277,12,5,20,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,19,119
Tomato,143,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,397,41,35,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,4,51,24
Spinach,166,slices,Dairy,Rice Pilaf,Snack,Hard,333,27,7,20,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,24,111
Beef,172,grams,Proteins,Beef Stir-Fry,Dinner,Medium,326,21,22,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,19,78
Lettuce,199,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,358,6,39,27,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,59,12
Potato,107,cups,Grains,Mashed Potatoes,Side Dish,Medium,212,16,47,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,51,45
Carrot,68,pieces,Vegetables,Carrot Soup,Soup,Medium,245,19,30,35,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,48,45
Onion,108,slices,Vegetables,Onion Rings,Snack,Medium,116,8,40,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,34,78
Chicken,88,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,256,16,25,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,36,78
Broccoli,121,ounces,Vegetables,Broccoli Salad,Lunch,Medium,372,33,17,6,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,50,88
Rice,53,cups,Grains,Tomato Soup,Soup,Medium,447,21,11,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,11,59
Tomato,61,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,453,38,43,26,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,37,87
Spinach,122,slices,Dairy,Rice Pilaf,Snack,Hard,176,22,48,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,31,77
Beef,166,grams,Proteins,Beef Stir-Fry,Dinner,Medium,178,6,12,16,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,18,24
Lettuce,92,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,190,46,5,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,12,36
Potato,178,cups,Grains,Mashed Potatoes,Side Dish,Medium,464,35,31,33,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,30,72
Carrot,57,pieces,Vegetables,Carrot Soup,Soup,Medium,478,16,21,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,17,86
Onion,146,slices,Vegetables,Onion Rings,Snack,Medium,375,33,14,39,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,52,29
Chicken,75,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,446,32,32,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,39,16
Broccoli,159,ounces,Vegetables,Broccoli Salad,Lunch,Medium,334,27,39,6,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,37,109
Rice,178,cups,Grains,Tomato Soup,Soup,Medium,154,27,17,38,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,20,26
Tomato,53,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,487,23,47,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,33,12
Spinach,169,slices,Dairy,Rice Pilaf,Snack,Hard,280,32,20,8,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,25,58
Beef,140,grams,Proteins,Beef Stir-Fry,Dinner,Medium,330,34,33,9,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,53,67
Lettuce,188,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,317,17,42,22,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,34,61
Potato,115,cups,Grains,Mashed Potatoes,Side Dish,Medium,417,20,47,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,6,60
Carrot,75,pieces,Vegetables,Carrot Soup,Soup,Medium,483,47,25,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,12,10
Onion,142,slices,Vegetables,Onion Rings,Snack,Medium,182,20,38,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,39,108
Chicken,98,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,223,9,14,5,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,28,77
Broccoli,122,ounces,Vegetables,Broccoli Salad,Lunch,Medium,246,26,45,19,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,13,54
Rice,120,cups,Grains,Tomato Soup,Soup,Medium,180,50,45,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,23,105
Tomato,52,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,318,21,24,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,55,66
Spinach,126,slices,Dairy,Rice Pilaf,Snack,Hard,349,40,35,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,41,50
Beef,51,grams,Proteins,Beef Stir-Fry,Dinner,Medium,271,6,33,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,54,102
Lettuce,168,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,132,38,27,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,8,114
Potato,167,cups,Grains,Mashed Potatoes,Side Dish,Medium,252,29,5,18,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,53,110
Carrot,156,pieces,Vegetables,Carrot Soup,Soup,Medium,185,40,19,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,8,103
Onion,176,slices,Vegetables,Onion Rings,Snack,Medium,495,27,18,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,23,18
Chicken,164,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,265,17,29,9,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,26,55
Broccoli,136,ounces,Vegetables,Broccoli Salad,Lunch,Medium,266,32,31,35,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,44,107
Rice,92,cups,Grains,Tomato Soup,Soup,Medium,124,7,41,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,40,35
Tomato,105,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,377,32,39,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,10,106
Spinach,129,slices,Dairy,Rice Pilaf,Snack,Hard,146,35,46,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,52,14
Beef,69,grams,Proteins,Beef Stir-Fry,Dinner,Medium,330,6,18,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,54,88
Lettuce,110,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,431,13,24,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,34,16
Potato,59,cups,Grains,Mashed Potatoes,Side Dish,Medium,156,34,45,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,59,70
Carrot,112,pieces,Vegetables,Carrot Soup,Soup,Medium,463,17,7,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,17,45
Onion,112,slices,Vegetables,Onion Rings,Snack,Medium,370,39,13,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,26,22
Chicken,158,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,150,19,46,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,51,83
Broccoli,154,ounces,Vegetables,Broccoli Salad,Lunch,Medium,274,11,6,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,19,11
Rice,60,cups,Grains,Tomato Soup,Soup,Medium,161,24,44,38,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,28,25
Tomato,116,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,341,6,5,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,21,19
Spinach,92,slices,Dairy,Rice Pilaf,Snack,Hard,463,23,37,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,44,61
Beef,156,grams,Proteins,Beef Stir-Fry,Dinner,Medium,403,23,48,10,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,36,53
Lettuce,142,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,103,43,23,27,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,59,40
Potato,104,cups,Grains,Mashed Potatoes,Side Dish,Medium,175,12,20,31,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,23,51
Carrot,79,pieces,Vegetables,Carrot Soup,Soup,Medium,280,41,11,20,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,21,41
Onion,105,slices,Vegetables,Onion Rings,Snack,Medium,436,46,10,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,8,68
Chicken,188,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,328,49,42,38,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,53,27
Broccoli,82,ounces,Vegetables,Broccoli Salad,Lunch,Medium,243,38,15,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,58,23
Rice,136,cups,Grains,Tomato Soup,Soup,Medium,262,23,43,40,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,49,44
Tomato,104,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,374,14,39,29,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,18,97
Spinach,185,slices,Dairy,Rice Pilaf,Snack,Hard,163,26,48,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,47,112
Beef,161,grams,Proteins,Beef Stir-Fry,Dinner,Medium,489,38,10,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,56,50
Lettuce,172,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,480,18,42,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,38,116
Potato,71,cups,Grains,Mashed Potatoes,Side Dish,Medium,429,32,15,50,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,24,15
Carrot,147,pieces,Vegetables,Carrot Soup,Soup,Medium,440,33,15,44,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,37,72
Onion,197,slices,Vegetables,Onion Rings,Snack,Medium,123,7,24,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,36,32
Chicken,87,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,174,10,19,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,16,110
Broccoli,168,ounces,Vegetables,Broccoli Salad,Lunch,Medium,430,25,37,30,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,53,11
Rice,181,cups,Grains,Tomato Soup,Soup,Medium,198,44,24,50,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,36,99
Tomato,131,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,135,30,24,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,45,88
Spinach,198,slices,Dairy,Rice Pilaf,Snack,Hard,405,11,22,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,11,31
Beef,66,grams,Proteins,Beef Stir-Fry,Dinner,Medium,132,46,31,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,23,70
Lettuce,160,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,266,26,5,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,59,62
Potato,181,cups,Grains,Mashed Potatoes,Side Dish,Medium,272,19,36,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,40,84
Carrot,97,pieces,Vegetables,Carrot Soup,Soup,Medium,223,40,45,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,10,81
Onion,72,slices,Vegetables,Onion Rings,Snack,Medium,307,20,44,14,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,38,91
Chicken,155,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,472,22,5,48,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,55,53
Broccoli,178,ounces,Vegetables,Broccoli Salad,Lunch,Medium,499,43,12,29,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,9,34
Rice,167,cups,Grains,Tomato Soup,Soup,Medium,459,16,19,25,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,17,35
Tomato,65,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,391,43,13,41,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,23,29
Spinach,195,slices,Dairy,Rice Pilaf,Snack,Hard,376,40,21,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,41,79
Beef,81,grams,Proteins,Beef Stir-Fry,Dinner,Medium,117,20,49,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,16,92
Lettuce,87,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,390,28,18,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,40,92
Potato,133,cups,Grains,Mashed Potatoes,Side Dish,Medium,403,15,25,35,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,24,21
Carrot,104,pieces,Vegetables,Carrot Soup,Soup,Medium,346,30,48,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,34,111
Onion,58,slices,Vegetables,Onion Rings,Snack,Medium,246,34,15,11,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,49,116
Chicken,91,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,494,8,38,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,30,103
Broccoli,193,ounces,Vegetables,Broccoli Salad,Lunch,Medium,297,8,11,40,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,48,27
Rice,144,cups,Grains,Tomato Soup,Soup,Medium,486,45,26,26,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,43,95
Tomato,55,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,431,35,25,40,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,8,79
Spinach,127,slices,Dairy,Rice Pilaf,Snack,Hard,335,28,38,48,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,21,31
Beef,126,grams,Proteins,Beef Stir-Fry,Dinner,Medium,498,30,50,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,40,14
Lettuce,117,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,131,44,7,48,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,37,75
